Year,Tm,Wins,Losses,W-L-pct,Avg_Attendance,Initial_Rank,Final_Rank
2000,PHI,65,97,0.4012345679012346,25348.60248447205,4,5
2001,PHI,86,76,0.5308641975308642,24905.828025477706,1,2
2002,PHI,80,81,0.4968944099378882,24004.775,5,3
2003,PHI,86,76,0.5308641975308642,27978.924528301886,1,3
2004,PHI,86,76,0.5308641975308642,33783.6,5,2
2005,PHI,88,74,0.5432098765432098,31257.217391304348,1,2
2006,PHI,85,77,0.5246913580246914,32386.786163522014,3,2
2007,PHI,89,73,0.5493827160493827,35606.444444444445,4,1
2008,PHI,92,70,0.5679012345679012,37734.253086419754,3,1
2009,PHI,93,69,0.5740740740740741,37648.90062111801,5,1
2010,PHI,97,65,0.5987654320987654,38941.067901234564,1,1
2011,PHI,102,60,0.6296296296296297,39220.864197530864,1,1
2012,PHI,81,81,0.5,37885.567901234564,1,3
2013,PHI,73,89,0.4506172839506173,33827.08024691358,4,4
2014,PHI,73,89,0.4506172839506173,30530.376543209877,1,5
2015,PHI,63,99,0.3888888888888889,27260.937106918238,3,5
2016,PHI,71,91,0.4382716049382716,27213.716049382718,3,4
2017,PHI,66,96,0.4074074074074074,27571.9,1,5
2018,PHI,80,82,0.49382716049382713,27853.14465408805,4,3
2019,PHI,81,81,0.5,31315.253086419754,1,4
